Измеренная глубина рейса,Спуск,Подъём,Бурение ротором,Момент свинчивания, Make-up Torque
776,0,0,3.0085,13.287,13.287
785.3,0,0,3.1344,13.287,13.287
794.6,0,0,3.2473,13.287,13.287
803.9,0,0,3.3529,11.2736,11.2736
813.2,0,0,3.4132,11.2736,11.2736
822.5,0,0,3.4628,11.2736,11.2736
831.8,0,0,3.5117,11.2736,11.2736
841.1,0,0,3.5504,15.8631,15.8631
850.4,0,0,3.5934,13.5392,13.5392
859.7,0,0,3.6371,13.5392,13.5392
869,0,0,3.7016,13.5392,13.5392
878.3,0,0,3.7475,13.5392,13.5392
887.6,0,0,3.794,16.7389,16.7389
896.9,0,0,3.8436,16.7389,16.7389
906.2,0,0,3.8901,16.7389,16.7389
915.5,0,0,3.9283,16.7389,16.7389
924.8,0,0,3.9745,16.7389,16.7389
934.1,0,0,4.0176,16.7389,16.7389
943.4,0,0,4.0594,16.7389,16.7389
952.7,0,0,4.1107,16.7389,16.7389
962,0,0,4.1531,16.7389,16.7389
971.3,0,0,4.202,16.7389,16.7389
980.6,0,0,4.2465,16.7389,16.7389
989.9,0,0,4.2948,16.7389,16.7389
999.2,0,0,4.3411,16.7389,16.7389
1008.5,0,0,4.386,16.7389,16.7389
1017.8,0,0,4.4313,16.7389,16.7389
1027.1,0,0,4.4766,16.7389,16.7389
1036.4,0,0,4.5288,16.7389,16.7389
1045.7,0,0,4.5724,16.7389,16.7389
1055,0,0,4.6233,16.7389,16.7389
1064.3,0,0,4.6745,16.7389,16.7389
1073.6,0,0,4.7237,16.7389,16.7389
1082.9,0,0,4.7718,16.7389,16.7389
1092.2,0,0,4.8191,16.7389,16.7389
1101.5,0,0,4.8674,16.7389,16.7389
1110.8,0,0,4.9121,16.7389,16.7389
1120.1,0,0,4.9585,16.7389,16.7389
1129.4,0,0,5.0074,16.7389,16.7389
1138.7,0,0,5.0555,16.7389,16.7389
1148,0,0,5.1631,16.7389,16.7389
1157.3,0,0,5.1499,16.7389,16.7389
1166.6,0,0,5.2026,16.7389,16.7389
1175.9,0,0,5.25,16.7389,16.7389
1185.2,0,0,5.3068,16.7389,16.7389
1194.5,0,0,5.3549,16.7389,16.7389
1203.8,0,0,5.4136,16.7389,16.7389
1213.1,0,0,5.4735,16.7389,16.7389
1222.4,0,0,5.5375,16.7389,16.7389
1231.7,0,0,5.6008,16.7389,16.7389
1241,0,0,5.6613,16.7389,16.7389
1250.3,0,0,5.7295,16.7389,16.7389
1259.6,0,0,5.8717,16.7389,16.7389
1268.9,0,0,5.9197,16.7389,16.7389
1278.2,0,0,5.9797,16.7389,16.7389
1282,0,0,5.9862,16.7389,16.7389
