Измеренная глубина рейса,Мин. вес на долоте до синусоидального изгиба (бурение ротором),Мин. вес на долоте до спирального изгиба (бурение ротором),Мин. вес на долоте до синусоидального изгиба (бурение ГЗД),Мин. вес на долоте до спирального изгиба (бурение ГЗД)
300.00,6.82,7.34,5.07,6.93
309.30,9.20,10.36,6.93,11.06
318.60,7.16,7.76,5.27,7.40
327.90,9.36,10.51,6.92,11.01
337.20,8.64,9.32,6.48,8.86
346.50,10.56,11.72,7.84,11.84
355.80,8.96,9.73,6.52,9.14
365.10,9.59,10.75,6.61,10.50
374.40,8.09,8.93,5.37,8.18
383.70,9.59,10.75,6.35,10.16
393.00,8.26,9.18,5.24,8.25
402.30,9.57,10.73,6.05,9.78
411.60,8.38,9.37,5.08,8.23
420.90,9.47,10.63,5.70,9.34
430.20,8.45,9.50,4.86,8.14
439.50,9.36,10.52,5.32,8.86
448.80,8.49,9.62,4.58,8.03
458.10,9.19,10.35,4.89,8.34
467.40,8.46,9.67,4.26,7.87
476.70,9.50,10.91,4.83,9.03
486.00,10.11,12.05,5.14,10.94
495.30,9.58,11.33,4.68,9.91
504.60,9.07,10.64,4.26,8.94
513.90,11.92,14.77,6.20,14.62
523.20,9.81,11.73,4.59,10.33
532.50,12.70,15.51,6.47,14.83
541.80,8.33,9.64,3.48,7.40
551.10,12.76,15.59,6.38,14.78
560.40,9.91,11.87,4.40,10.25
569.70,12.24,15.64,6.24,14.66
579.00,11.33,13.88,5.22,12.81
588.30,12.23,15.67,6.14,14.58
597.60,12.22,15.81,6.04,14.69
606.90,10.88,13.23,4.72,11.70
616.20,12.20,15.81,5.97,14.47
625.50,9.02,10.61,3.30,7.99
634.80,12.16,15.79,5.77,14.25
644.10,8.15,9.39,2.58,6.24
653.40,12.13,15.78,5.66,14.16
662.70,8.18,9.44,2.49,6.20
672.00,12.12,15.79,5.54,14.06
681.30,8.62,10.06,2.66,6.91
690.60,12.16,15.79,5.43,13.94
699.90,9.20,10.88,2.93,7.90
709.20,12.23,15.81,5.34,13.88
718.50,9.80,11.72,3.24,8.93
727.80,12.25,15.84,5.24,13.76
737.10,10.36,12.51,3.46,9.79
746.40,12.15,15.83,5.05,13.48
755.70,10.84,13.19,3.62,10.54
765.00,12.11,15.81,4.92,13.37
767.00,8.28,9.58,1.85,5.68
